testSequence Camera Data: 
width=640
height=480
image#,timestamp[us]
1,1350051493767036
2,1350051493783777
3,1350051493800402
4,1350051493817026
5,1350051493833776
6,1350051493850409
7,1350051493867041
8,1350051493883775
9,1350051493900399
10,1350051493917023
11,1350051493933781
12,1350051493950405
13,1350051493967022
14,1350051493983779
15,1350051494000396
16,1350051494017020
17,1350051494033778
18,1350051494050394
19,1350051494067019
20,1350051494083768
21,1350051494100393
22,1350051494117018
23,1350051494133767
24,1350051494150391
25,1350051494167017
26,1350051494183766
27,1350051494200398
28,1350051494217015
29,1350051494233764
30,1350051494250396
31,1350051494267014
32,1350051494283770
33,1350051494300387
34,1350051494317012
35,1350051494333762
36,1350051494350387
37,1350051494367023
38,1350051494383760
39,1350051494400391
40,1350051494417009
41,1350051494433758
42,1350051494450383
43,1350051494467007
44,1350051494483757
45,1350051494500381
46,1350051494517006
47,1350051494533764
48,1350051494550381
49,1350051494567005
50,1350051494583762
51,1350051494600380
52,1350051494617003
53,1350051494633760
54,1350051494650377
55,1350051494667002
56,1350051494683752
57,1350051494700377
58,1350051494717007
59,1350051494733758
60,1350051494750374
61,1350051494767007
62,1350051494783749
63,1350051494800374
64,1350051494817000
65,1350051494833748
66,1350051494850380
67,1350051494867004
68,1350051494883746
69,1350051494900379
70,1350051494917003
71,1350051494933752
72,1350051494950369
73,1350051494967001
74,1350051494983751
75,1350051495000368
76,1350051495016993
77,1350051495033741
78,1350051495050366
79,1350051495066991
80,1350051495083740
81,1350051495100373
82,1350051495116998
83,1350051495133739
84,1350051495150372
85,1350051495166988
86,1350051495183753
87,1350051495200362
88,1350051495216986
89,1350051495233744
90,1350051495250368
91,1350051495266985
92,1350051495283735
93,1350051495300366
94,1350051495316983
95,1350051495333733
96,1350051495350358
97,1350051495366983
98,1350051495383731
99,1350051495400357
100,1350051495416981
101,1350051495433731
102,1350051495450354
103,1350051495466979
104,1350051495483729
105,1350051495500353
106,1350051495516984
107,1350051495533728
108,1350051495550351
109,1350051495566976
110,1350051495583726
111,1350051495600351
112,1350051495616975
113,1350051495633725
114,1350051495650358
115,1350051495666973
116,1350051495683723
117,1350051495700348
118,1350051495716972
119,1350051495733722
120,1350051495750346
121,1350051495766976
122,1350051495783721
123,1350051495800352
124,1350051495816969
125,1350051495833719
126,1350051495850356
127,1350051495866968
128,1350051495883717
129,1350051495900342
130,1350051495916966
131,1350051495933716
132,1350051495950348
133,1350051495966965
134,1350051495983714
135,1350051496000339
136,1350051496016963
137,1350051496033713
138,1350051496050338
139,1350051496066962
140,1350051496083712
141,1350051496100336
142,1350051496116960
143,1350051496133710
144,1350051496150335
145,1350051496166959
146,1350051496183709
147,1350051496200333
148,1350051496216958
149,1350051496233707
150,1350051496250331
151,1350051496266956
152,1350051496283706
153,1350051496300331
154,1350051496316955
155,1350051496333704
156,1350051496350329
157,1350051496366953
158,1350051496383703
159,1350051496400328
160,1350051496416960
161,1350051496433702
162,1350051496450334
163,1350051496466950
164,1350051496483700
165,1350051496500324
166,1350051496516949
167,1350051496533699
168,1350051496550323
169,1350051496566948
170,1350051496583697
171,1350051496600322
172,1350051496616946
173,1350051496633696
174,1350051496650321
175,1350051496666952
176,1350051496683695
177,1350051496700319
178,1350051496716943
179,1350051496733693
180,1350051496750318
181,1350051496766951
182,1350051496783692
183,1350051496800316
184,1350051496816941
185,1350051496833689
186,1350051496850314
187,1350051496866939
188,1350051496883689
189,1350051496900314
190,1350051496916938
191,1350051496933688
192,1350051496950311
193,1350051496966937
194,1350051496983686
195,1350051497000311
196,1350051497016935
197,1350051497033684
198,1350051497050309
199,1350051497066933
200,1350051497083683
201,1350051497100307
202,1350051497116932
203,1350051497133681
204,1350051497150306
205,1350051497166930
206,1350051497183680
207,1350051497200305
208,1350051497216929
209,1350051497233679
210,1350051497250303
211,1350051497266928
212,1350051497283678
213,1350051497300302
